"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0A930","2019-07-04 00:00:00","216.000","260.000","0.400","24.800","1.000","983.700","-99.000","13.500","-99.000","-99.000","-99.000","28.400","","22.800",""
"C0F9M0","2019-07-04 00:00:00","230.000","126.000","1.300","27.300","0.700","984.000","-99.000","1.500","-99.000","-99.000","-99.000","30.400","","24.900",""
"C0AC40","2019-07-04 00:00:00","1079.000","247.000","9.800","20.600","0.990","892.000","-99.000","28.000","15.400","248.000","","24.200","","19.200",""
"C0AI00","2019-07-04 00:00:00","188.000","0.000","0.000","26.400","0.880","988.300","-99.000","5.500","-99.000","-99.000","-99.000","31.700","","24.600",""
"C0T9M0","2019-07-04 00:00:00","92.000","311.000","2.100","27.000","0.850","1000.200","-99.000","2.000","-99.000","-99.000","-99.000","32.100","","24.900",""
"C0K430","2019-07-04 00:00:00","30.000","168.000","1.700","26.200","0.830","1007.600","-99.000","56.000","-99.000","-99.000","-99.000","27.600","","24.200",""
"C0Z170","2019-07-04 00:00:00","199.000","0.000","0.200","26.800","0.900","989.200","-99.000","2.000","-99.000","-99.000","-99.000","33.600","","25.200",""
"C0Z100","2019-07-04 00:00:00","36.000","231.000","0.500","26.900","0.930","1007.000","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","25.100",""
"C0U710","2019-07-04 00:00:00","1942.000","0.000","0.000","17.800","0.800","808.900","-99.000","0.500","-99.000","-99.000","-99.000","21.700","","16.200",""
"C0V500","2019-07-04 00:00:00","6.000","61.000","1.000","26.300","0.920","1010.200","-99.000","53.000","-99.000","-99.000","-99.000","30.800","","25.200",""
"CM0160","2019-07-04 00:00:00","196.000","64.000","0.800","24.800","0.960","993.300","-99.000","2.000","-99.000","-99.000","-99.000","31.800","","24.400",""
"C0V350","2019-07-04 00:00:00","36.000","267.000","0.300","24.200","1.000","1008.200","-99.000","95.000","-99.000","-99.000","-99.000","33.000","","24.000",""
"C0W120","2019-07-04 00:00:00","58.000","137.000","4.700","26.000","0.920","1003.400","-99.000","29.000","-99.000","-99.000","-99.000","26.900","","24.000",""
"C0R470","2019-07-04 00:00:00","103.000","13.000","0.400","25.800","0.980","999.800","-99.000","96.000","-99.000","-99.000","-99.000","33.400","","24.200",""
"C0M770","2019-07-04 00:00:00","164.000","199.000","1.500","27.400","0.710","991.200","-99.000","30.000","-99.000","-99.000","-99.000","30.400","","24.000",""
"C0A9B0","2019-07-04 00:00:00","7.000","0.000","0.000","28.500","0.770","1008.100","-99.000","43.500","-99.000","-99.000","-99.000","33.200","","25.500",""
"C0F9Y0","2019-07-04 00:00:00","3313.000","213.000","6.400","9.000","1.000","688.600","-99.000","0.500","12.200","213.000","","11.700","","8.700",""
"C0E790","2019-07-04 00:00:00","344.000","207.000","1.700","28.000","0.660","971.300","-99.000","0.500","-99.000","-99.000","-99.000","31.100","","24.900",""
"C0O810","2019-07-04 00:00:00","161.000","35.000","1.000","23.800","0.990","995.500","-99.000","70.500","-99.000","-99.000","-99.000","29.500","","23.700",""
"C0R520","2019-07-04 00:00:00","18.000","79.000","1.100","26.000","0.990","1010.300","-99.000","70.500","-99.000","-99.000","-99.000","32.200","","24.100",""
"C0G880","2019-07-04 00:00:00","92.000","133.000","1.500","25.900","0.920","1000.400","-99.000","10.000","-99.000","-99.000","-99.000","30.200","","24.900",""
"C0X270","2019-07-04 00:00:00","33.000","134.000","0.900","24.500","0.990","1007.500","-99.000","56.500","-99.000","-99.000","-99.000","29.100","","23.900",""
"C0R260","2019-07-04 00:00:00","76.000","0.000","0.000","25.600","0.990","1002.100","-99.000","82.000","-99.000","-99.000","-99.000","32.000","","24.500",""
"C0U950","2019-07-04 00:00:00","1012.000","357.000","4.900","21.200","0.980","901.400","-99.000","52.500","-99.000","-99.000","-99.000","23.900","","20.600",""
